"","HDA","HDB","HDC","MDA","MDB","MDC","NCA","NCB","NCC"
"num.edges",1975,2044,1851,2153,1932,4482,2041,1893,2088
"num.pos.edges",1332,1090,953,1227,1017,2780,1021,1063,1211
"num.neg.edges",643,954,898,926,915,1702,1020,830,877
"num.vertices",200,199,200,199,200,199,200,200,200
"connectance",0.0992462311557789,0.10375107862545,0.0930150753768844,0.109283792700878,0.0970854271356784,0.227501142074006,0.102562814070352,0.0951256281407035,0.104924623115578
"average.degree",19.75,20.5427135678392,18.51,21.6381909547739,19.32,45.0452261306533,20.41,18.93,20.88
"average.path.length",3.11173881014712,3.21994786449038,3.09315944179076,3.00093231343709,3.05608040617636,2.19492005060245,3.07204629269239,3.08776535317458,3.10692796997748
"diameter",7.34935886896179,8.16941627658616,6.44409571106705,7.28150640306832,8.16353381648073,7.18885438199983,6.3746794344809,6.3746794344809,8.1746794344809
"edge.connectivity",2,1,2,1,1,0,2,2,2
"clustering.coefficient",0.597362696508264,0.608472236967831,0.599682134514894,0.624395760748618,0.567334254143646,0.629610032497292,0.574806359559723,0.55817494353795,0.583670215794568
"no.clusters",1,1,1,1,1,2,1,1,1
"centralization.degree",0.0665829145728643,0.0780671031927313,0.0878894472361809,0.102837419420334,0.0988944723618091,0.211892797319933,0.0984422110552764,0.0556281407035176,0.0910552763819096
"centralization.betweenness",0.0257819082488799,0.032623681386793,0.0453702378117975,0.0338920415751635,0.0449030283874572,0.054484436322822,0.0680781372533474,0.0281847934701125,0.0436030769242076
"centralization.closeness",0.0802324223113903,0.0872366572238998,0.0959771683221228,0.106188012418803,0.0817309099047569,1.13451891304092,0.0942555737204011,0.063704056313575,0.0766561671664252
